,Summer Anthem,Artist,Song URI,Date,Danceability,Energy,Acousticness,Valence,Tempo,Instrumentalness
0,Despacito, Luis Fonsi & Daddy Yankee Featuring Justin Bieber,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
1,Thats What I Like, Bruno Mars,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,2017,0.853,0.56,0.013,0.86,134.066,0
2,Im The One," DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
3,Shape Of You, Ed Sheeran,spotify:track:0FE9t6xYkqWXU2ahLh6D8X,2017,0.825,0.652,0.581,0.931,95.977,0
4,Humble., Kendrick Lamar,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,2017,0.904,0.611,0.000259,0.4,150.02,2.03e-05
5,Mask Off, Future,spotify:track:0VgkVdmE4gld66l8iyGjgx,2017,0.833,0.434,0.0102,0.281,150.062,0.0219
6,XO TOUR Llif3, Lil Uzi Vert,spotify:track:7GX5flRQZVHRAGd6B4TmDO,2017,0.732,0.75,0.00264,0.401,155.096,0
7,Something Just Like This, The Chainsmokers & Coldplay,spotify:track:1dNIEtp7AY3oDAKCGg2XkH,2017,0.607,0.649,0.0306,0.505,102.996,2.46e-05
8,Stay, Zedd & Alessia Cara,spotify:track:1PSPGMu86DPG05sPVPtDL6,2017,0.707,0.41,0.964,0.285,101.961,0.000209
9,Congratulations, Post Malone Featuring Quavo,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
10,Say You Wont Let Go, James Arthur,spotify:track:5uCax9HTNlzGybIStD3vDh,2017,0.358,0.557,0.695,0.494,85.043,0
11,Issues, Julia Michaels,spotify:track:7vu0JkJh0ldukEYbTVcqd0,2017,0.725,0.42,0.427,0.424,113.975,0
12,Believer, Imagine Dragons,spotify:track:5VKSZDsidOFHrtlJb33Syo,2017,0.784,0.78,0.0492,0.722,124.953,0
13,Body Like A Back Road, Sam Hunt,spotify:track:7mldq42yDuxiUNn08nvzHO,2017,0.731,0.469,0.463,0.631,98.963,1.04e-06
14,It Aint Me, Kygo x Selena Gomez,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
15,Redbone, Childish Gambino,spotify:track:3kxfsdsCpFgN412fpnW85Y,2017,0.743,0.359,0.199,0.587,160.083,0.00611
16,Unforgettable, French Montana Featuring Swae Lee,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
17,Theres Nothing Holdin Me Back, Shawn Mendes,spotify:track:7JJmb5XwzOO8jgpou264Ml,2017,0.858,0.799,0.357,0.966,121.991,0
18,iSpy, KYLE Featuring Lil Yachty,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
19,In Case You Didnt Know, Brett Young,spotify:track:10M2Ex445zw585Ducldzkw,2017,0.599,0.542,0.357,0.383,148.003,0
20,Now Or Never, Halsey,spotify:track:7i2DJ88J7jQ8K7zqFX2fW8,2017,0.658,0.588,0.105,0.434,110.075,1.28e-06
21,Location, Khalid,spotify:track:152lZdxL1OR0ZMW6KquMif,2017,0.736,0.449,0.33,0.326,80.126,0.000162
22,Castle On The Hill, Ed Sheeran,spotify:track:6PCUP3dWmTjcTtXY02oFdT,2017,0.461,0.834,0.0232,0.471,135.007,1.14e-05
23,Rolex, Ayo & Teo,spotify:track:0pSBuHjILhNEo55xK1zrRt,2017,0.804,0.886,0.0837,0.789,144.946,0
24,Sign Of The Times, Harry Styles,spotify:track:5Ohxk2dO5COHF1krpoPigN,2017,0.516,0.595,0.0275,0.222,119.972,0
25,Malibu, Miley Cyrus,spotify:track:2habSXqcJGExM6JJyskY7O,2017,0.565,0.782,0.0577,0.4,140.004,4.16e-05
26,DNA., Kendrick Lamar,spotify:track:6HZILIRieu8S0iqY8kIKhj,2017,0.637,0.514,0.0047,0.402,139.931,0
27,Slow Hands, Niall Horan,spotify:track:27vTihlWXiz9f9lJM3XGVU,2017,0.726,0.429,0.0133,0.871,85.899,0
28,Swalla, Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
29,Bad And Boujee, Migos Featuring Lil Uzi Vert,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
30,Attention, Charlie Puth,spotify:track:4iLqG9SeJSnt0cSPICSjxv,2017,0.774,0.626,0.0969,0.777,100.041,3.12e-05
31,Closer, The Chainsmokers Featuring Halsey,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
32,Swang, Rae Sremmurd,spotify:track:6mapJIPnQ23RTAevUoE0DL,2017,0.678,0.317,0.215,0.16,140.009,4.31e-05
33,Passionfruit, Drake,spotify:track:5mCPDVBb16L4XQwDdbRUpz,2017,0.804,0.459,0.304,0.372,111.963,0.0862
34,Slide, Calvin Harris Featuring Frank Ocean & Migos,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
35,Goosebumps, Travis Scott,spotify:track:6gBFPUFcJLzWGx4lenP6h2,2017,0.841,0.728,0.0847,0.43,130.049,0
36,Hurricane, Luke Combs,spotify:track:6xHI9KjUjYT0FPtGO8Mxa1,2017,0.464,0.813,0.0153,0.516,75.975,0
37,Tunnel Vision, Kodak Black,spotify:track:4Q3N4Ct4zCuIHuZ65E3BD4,2017,0.497,0.489,0.0576,0.231,171.853,9.91e-05
38,T-Shirt, Migos,spotify:track:7KOlJ92bu51cltsD9KU5I7,2017,0.865,0.687,0.242,0.486,139.023,0
39,Magnolia, Playboi Carti,spotify:track:1e1JKLEDKP7hEQzJfNAgPl,2017,0.791,0.586,0.012,0.413,163.029,0
40,24K Magic, Bruno Mars,spotify:track:6b8Be6ljOzmkOmFslEb23P,2017,0.818,0.803,0.034,0.632,106.97,0
41,Down, Fifth Harmony Featuring Gucci Mane,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
42,Slippery, Migos Featuring Gucci Mane,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
43,Drowning, A Boogie Wit da Hoodie Featuring Kodak Black,N/A,2017,N/A,N/A,N/A,N/A,N/A,N/A
