,0,1,2,3
0,Despacito, Luis Fonsi & Daddy Yankee Featuring Justin Bieber,N/A,2017
1,Thats What I Like, Bruno Mars,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,2017
2,Im The One," DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",N/A,2017
3,Shape Of You, Ed Sheeran,spotify:track:0FE9t6xYkqWXU2ahLh6D8X,2017
4,Humble., Kendrick Lamar,spotify:track:7KXjTSCq5nL1LoYtL7XAwS,2017
5,Mask Off, Future,spotify:track:0VgkVdmE4gld66l8iyGjgx,2017
6,XO TOUR Llif3, Lil Uzi Vert,spotify:track:7GX5flRQZVHRAGd6B4TmDO,2017
7,Something Just Like This, The Chainsmokers & Coldplay,spotify:track:1dNIEtp7AY3oDAKCGg2XkH,2017
8,Stay, Zedd & Alessia Cara,spotify:track:1PSPGMu86DPG05sPVPtDL6,2017
9,Congratulations, Post Malone Featuring Quavo,N/A,2017
10,Say You Wont Let Go, James Arthur,spotify:track:5uCax9HTNlzGybIStD3vDh,2017
11,Issues, Julia Michaels,spotify:track:7vu0JkJh0ldukEYbTVcqd0,2017
12,Believer, Imagine Dragons,spotify:track:5VKSZDsidOFHrtlJb33Syo,2017
13,Body Like A Back Road, Sam Hunt,spotify:track:7mldq42yDuxiUNn08nvzHO,2017
14,It Aint Me, Kygo x Selena Gomez,N/A,2017
15,Redbone, Childish Gambino,spotify:track:3kxfsdsCpFgN412fpnW85Y,2017
16,Unforgettable, French Montana Featuring Swae Lee,N/A,2017
17,Theres Nothing Holdin Me Back, Shawn Mendes,spotify:track:7JJmb5XwzOO8jgpou264Ml,2017
18,iSpy, KYLE Featuring Lil Yachty,N/A,2017
19,In Case You Didnt Know, Brett Young,spotify:track:10M2Ex445zw585Ducldzkw,2017
20,Now Or Never, Halsey,spotify:track:7i2DJ88J7jQ8K7zqFX2fW8,2017
21,Location, Khalid,spotify:track:152lZdxL1OR0ZMW6KquMif,2017
22,Castle On The Hill, Ed Sheeran,spotify:track:6PCUP3dWmTjcTtXY02oFdT,2017
23,Rolex, Ayo & Teo,spotify:track:0pSBuHjILhNEo55xK1zrRt,2017
24,Sign Of The Times, Harry Styles,spotify:track:5Ohxk2dO5COHF1krpoPigN,2017
25,Malibu, Miley Cyrus,spotify:track:2habSXqcJGExM6JJyskY7O,2017
26,DNA., Kendrick Lamar,spotify:track:6HZILIRieu8S0iqY8kIKhj,2017
27,Slow Hands, Niall Horan,spotify:track:27vTihlWXiz9f9lJM3XGVU,2017
28,Swalla, Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,N/A,2017
29,Bad And Boujee, Migos Featuring Lil Uzi Vert,N/A,2017
30,Attention, Charlie Puth,spotify:track:4iLqG9SeJSnt0cSPICSjxv,2017
31,Closer, The Chainsmokers Featuring Halsey,N/A,2017
32,Swang, Rae Sremmurd,spotify:track:6mapJIPnQ23RTAevUoE0DL,2017
33,Passionfruit, Drake,spotify:track:5mCPDVBb16L4XQwDdbRUpz,2017
34,Slide, Calvin Harris Featuring Frank Ocean & Migos,N/A,2017
35,Goosebumps, Travis Scott,spotify:track:6gBFPUFcJLzWGx4lenP6h2,2017
36,Hurricane, Luke Combs,spotify:track:6xHI9KjUjYT0FPtGO8Mxa1,2017
37,Tunnel Vision, Kodak Black,spotify:track:4Q3N4Ct4zCuIHuZ65E3BD4,2017
38,T-Shirt, Migos,spotify:track:7KOlJ92bu51cltsD9KU5I7,2017
